time,open,high,low,close,VWAP,MA #1,MA #2,MA #3,BB Basis,BB #1 Upper,BB #1 Lower,BB #2 Upper,BB #2 Lower,Volume,Volume MA,Amplitude
2022-02-04T12:39:00-06:00,14693.5,14704.5,14693.5,14702.5,14585.683307492252,14704.158535053846,14706.673847189219,14678.482717365498,14710.1375,14727.176040870207,14693.098959129795,14735.69531130531,14684.579688694692,626,768.45,12.863904493056761
2022-02-04T12:40:00-06:00,14703.75,14714.5,14703.5,14708.5,14585.822170168614,14705.605690035898,14707.005874972998,14679.46689056663,14710.5,14727.068795972435,14693.931204027565,14735.353193958652,14685.646806041348,656,761.7,12.743652590278906
2022-02-04T12:41:00-06:00,14709,14714.25,14705.5,14709.75,14586.007343417286,14706.9871266906,14707.504806796089,14680.459779400511,14710.6125,14727.128760930633,14694.096239069366,14735.386891395949,14685.83810860405,870,780.95,12.485997584454461
2022-02-04T12:42:00-06:00,14709.75,14717.75,14706.25,14713,14586.150279929325,14708.991417793733,14708.503932833164,14681.526671879183,14710.85,14727.3601483954,14694.3398516046,14735.615222593102,14686.084777406899,660,784.75,12.422384837070302
2022-02-04T12:43:00-06:00,14713.25,14746.25,14713,14743,14586.821074512043,14720.327611862489,14714.775945045316,14683.542190833963,14712,14733.383989337262,14690.616010662738,14744.075984005894,14679.924015994106,2657,845.3,13.76610194435609
2022-02-04T12:44:00-06:00,14743,14743.5,14737.25,14740.25,14586.99901756731,14726.968407908325,14719.407591400713,14685.401463265636,14712.5625,14736.180753004322,14688.944246995678,14747.989879506482,14677.135120493518,680,824.3,13.281192141494406
2022-02-04T12:45:00-06:00,14740.25,14742,14716.25,14726,14587.507510687701,14726.645605272217,14720.606211146038,14686.732562830697,14712.725,14736.663932724548,14688.786067275452,14748.633399086822,14676.816600913178,2122,893.6,14.085631358172186
2022-02-04T12:46:00-06:00,14725.5,14731,14712.5,14718.75,14587.842059965136,14724.013736848145,14720.268718210395,14687.782314869035,14712.95,14737.026233093278,14688.873766906723,14749.064349639917,14676.835650360084,1482,919.5,14.370429335064303
2022-02-04T12:47:00-06:00,14718.25,14726.5,14713.75,14725.75,14588.003017165525,14724.592491232097,14721.265314899414,14689.027157004477,14713.875,14738.421130042181,14689.328869957819,14750.694195063272,14677.055804936728,709,923.35,14.26588550699564
2022-02-04T12:48:00-06:00,14726.25,14730.25,14719.25,14729.25,14588.136000666083,14726.14499415473,14722.717075826793,14690.345938742035,14715.2375,14740.019789545737,14690.455210454262,14752.410934318605,14678.064065681394,569,899.75,14.055183216221726
2022-02-04T12:49:00-06:00,14729.25,14733,14723.5,14731,14588.261774363275,14727.763329436488,14724.223062040104,14691.67885878328,14716.4125,14741.836049613357,14690.988950386643,14754.547824420035,14678.277175579966,528,897.85,13.761300428078389
2022-02-04T12:50:00-06:00,14730.75,14747,14730.5,14740,14588.711577517732,14731.842219624325,14727.09159621463,14693.263158495303,14718.0375,14745.07787490477,14690.997125095231,14758.598062357154,14677.476937642847,1770,939.4,13.937990723041073
2022-02-04T12:51:00-06:00,14740.5,14744.5,14732.25,14741.75,14588.915714384219,14735.144813082883,14729.756760539243,14694.852891003655,14720,14747.927584930454,14692.072415069546,14761.89137739568,14678.10862260432,805,951.3,13.829088095748101
2022-02-04T12:52:00-06:00,14742,14746.25,14738,14743,14589.04906092282,14737.763208721923,14732.16462225938,14696.43148474124,14721.825,14750.738275494878,14692.911724505124,14765.194913242316,14678.455086757685,517,947.9,13.469146928280482
2022-02-04T12:53:00-06:00,14743.25,14753,14735.75,14740.5,14589.329627250474,14738.675472481282,14733.680145484948,14697.876354093987,14723.025,14752.929807306089,14693.12019269391,14767.882210959133,14678.167789040866,1086,964.55,13.713072932907547
2022-02-04T12:54:00-06:00,14741,14749.75,14737.5,14747.75,14589.488991429278,14741.700314987522,14736.23830085132,14699.511555599101,14724.2875,14756.070071875765,14692.504928124235,14771.961357813647,14676.613642186354,611,964.9,13.618681130784479
2022-02-04T12:55:00-06:00,14748.25,14750.75,14735.5,14738.25,14589.673420487326,14740.550209991681,14736.604064332898,14700.781668530279,14725.525,14757.458094120142,14693.591905879857,14773.424641180212,14677.625358819787,725,956.45,13.723927509443545
2022-02-04T12:56:00-06:00,14738.5,14740,14729.25,14737.25,14589.889559138888,14739.450139994455,14736.721507181463,14701.977351529285,14726.7625,14758.498313758124,14695.026686241878,14774.366220637186,14679.158779362815,887,970.8,13.532061218511704
2022-02-04T12:57:00-06:00,14737.25,14746.75,14735.5,14745.5,14590.04173114408,14741.466759996303,14738.317596784833,14703.404323610292,14728.75,14759.947355656788,14697.552644343212,14775.546033485183,14681.953966514817,597,969.8,13.38483146247869
2022-02-04T12:58:00-06:00,14746,14753.5,14740.75,14741.5,14590.2564799395,14741.477839997535,14738.896215551227,14704.653362180446,14731.1625,14758.189465700327,14704.135534299674,14771.70294855049,14690.62205144951,830,969.35,13.343874593931679
2022-02-04T12:59:00-06:00,14740.5,14746,14736.75,14744.5,14590.526646409651,14742.485226665023,14739.915085451004,14705.959809322072,14733.2625,14757.430389336098,14709.094610663904,14769.514334004147,14697.010665995855,1067,991.4,13.0797536523877
2022-02-04T13:00:00-06:00,14744.75,14754.25,14735,14742.75,14590.762261824855,14742.573484443348,14740.430524459913,14707.166045082004,14734.975,14756.60189297996,14713.348107020041,14767.415339469939,14702.534660530062,924,1004.8,13.477834061911073
